,,,
조별과제,참여자 이름,대화 유형,내용
1,A(1),잡담,카피킬러는 100퍼라고 떠여
1,A(1),잡담,이미 내셨나요?
1,A(1),잡담,turnitin ai 안 뜨지 않나요 저번에 scientific report쓸때 아예 안떴었어요
1,A(1),잡담,이거 바꾸신 거 아니였어요? 포스터에 그대로 있던데
1,A(1),잡담,여기 사인에 칸마다 각자 이름 적어주시면 될 것 같아요
1,A(1),잡담,근데 students 의 사인이니까 각자 쓴 글에 모든 조원들이 써인해야하는 거 아니에요?
1,A(1),잡담,저는 노트에 손으로 쓴거 이미지로 올렸어요
1,A(1),잡담,이현님 solution 부분 고치는거 했나요?
1,A(1),잡담,그 이현님이 ai가 썼다고 되어있는 solution 부분 9시에서 10시 사이에 하신다고 하셨는데 아직 안 끝나셨나요?
1,A(1),잡담,처음에 포함시켰던 다른조 꺼가 뭐에요?
1,A(1),잡담,피드백을 어디에 써요?
1,A(1),잡담,그 솔루션 부분 ai가 쓴 것 같다고 한 부분인데 그거 아직 안 고친거 같아요 제가 고칠까요?
1,A(1),잡담,딱히 없는 것 같아요 내면 될 것 같아요
1,A(1),잡담,turnitin에도 내야하나요?
1,A(1),잡담,제가 lxp에 낼게요
1,A(1),잡담,감사합니다(하하)
1,A(1),잡담,:0
1,A(1),잡담,오 14퍼센트
1,A(1),잡담,(감동)
1,A(1),잡담,혹시 쓰는거 그룹 6789남았나요?
1,A(1),잡담,다 했어요
1,A(1),잡담,그룹 질문이랑 reasoning이랑 individual role reflection 다 썼어요
1,A(1),잡담,그 포스터 붙일 테이프 있나요?
1,A(1),잡담,이모티콘
1,A(1),잡담,2시 전까지 포스터 붙여야해요
1,A(1),잡담,빨리 와주세요
1,B(1),대답,일단 제출은 월요일 11시 59분이네요
1,B(1),대답,좋아요
1,B(1),대답,"네 예시, 비유, 출처 최소 1개씩이요"
1,B(1),대답,좋아요
1,B(1),대답,아 다른 조 프레젠테이션 보고 하는 활동이네여
1,B(1),대답,넵
1,B(1),대답,정말 죄송합니다.. 난감하네요..
1,B(1),대답,넵.. 여러 분께 불편을 끼쳐서 죄송합니다
1,B(1),대답,넵
1,B(1),대답,네
1,B(1),대답,잘 된 것 같네요
1,B(1),대답,"저 8,9할게요"
1,B(1),대답,이번엔 pre class homework없는 것 같네요
1,B(1),대답,네
1,B(1),대답,아 넵
1,B(1),대답,이건 지켜야 하는 것 같네요
1,B(1),대답,시간 남으면 stakeholder를 찾아보도록 할게요
1,B(1),대답,미로 캡쳐 제출해도 될 거 같네여
1,B(1),대답,네
1,B(1),대답,다른 조 내용 포함시키는 거 빠졌네요
1,B(1),대답,solution에 gmo가 안되는 이유가 명시돼 있지 않네요
1,B(1),대답,이거 좋을 것 같네요
1,B(1),대답,아 다행이네요!
1,B(1),대답,요런 내용의 표를 따로 저희가 만들어서 함께 제출해야 한다고 하네요
1,B(1),대답,네ㅠㅠ
1,B(1),대답,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 우리 조가 모든 조 중에서 역대급으로 적극적이네요
1,B(1),대답,맞아요 이 사이트는 원래 낮게 나와요
1,B(1),대답,네 혹시 모르니까 사인 형식으로 해주세요
1,B(1),대답,네 해야죠
1,B(1),대답,연락이 안됩니다..
1,B(1),대답,표는 다 된 것 같네요
1,B(1),대답,네 감사합니다ㅠㅠ
1,B(1),대답,네 냅시당
1,B(1),대답,네
1,B(1),대답,이 과제도 있네요
1,B(1),대답,네
1,B(1),대답,네
1,B(1),대답,넵 그럼 다 된 것 같습니다
1,B(1),대답,넵
1,B(1),대답,네 맞아요
1,B(1),대답,제가 쓴 게 아니라 잘 모르겠네요
1,B(1),대답,네
1,B(1),의견 및 일정 조율,그 슬랙 제너럴에 있어여
1,B(1),의견 및 일정 조율,줌으로 해도 돼요
1,B(1),의견 및 일정 조율,만나서 줌으로 하는 거 어때요
1,B(1),의견 및 일정 조율,이거 수업 시간에 조 전체 반대로 결론 났으니까
1,B(1),의견 및 일정 조율,줌이든 허들이든 증거를 남겨야 한다고 나와있어요
1,B(1),의견 및 일정 조율,다 본 다음에 슬랙 허들에서 만날까요?
1,B(1),의견 및 일정 조율,여러분 9조 껄 보는 게 아예 불가능하더라고요
1,B(1),의견 및 일정 조율,슬랙 허들로 해야 할 것 같아요
1,B(1),의견 및 일정 조율,그거 수업 시간에 하는 거 아닌가요?
1,B(1),의견 및 일정 조율,저희 슬랙에서도 대화를 해봐용
1,B(1),의견 및 일정 조율,허들로 할 거면
1,B(1),의견 및 일정 조율,오늘까지 제출인데 허거덩거덩
1,B(1),의견 및 일정 조율,월요일 제출이래요
1,B(1),의견 및 일정 조율,전 내일은 다 되고 일요일은 대충 12시부터 2시까지 돼요
1,B(1),의견 및 일정 조율,아님 모든 걸 다 상의하진 말고 파트를 분배해서 쓰면 시간을 단축할 수 있을 것 같아요
1,B(1),의견 및 일정 조율,우리 반 슬랙에 공지가 안됐을 뿐
1,B(1),의견,줌 화면 공유로 녹화해서 하면 직접 만나서 찍는 것보다 깔끔하고 슬라이드도 깔끔하게 보이지 않을까요?
1,B(1),의견,근데 다른 조 미로 보드가 이렇게 아무것도 안 뜨는데 어떻게 하면 내용 볼 수 있나요?ㅜㅜ
1,B(1),의견,도아 언니가 10조 하면 될 것 같아요
1,B(1),의견,수요일까지 미로보드 핑크색 채우기
1,B(1),의견,Interactive workshop handouts확인하시면
1,B(1),의견,포스터 한 명 당 분량을 어느 정도 준비하면 될까요?
1,B(1),의견,어떻게 할까요?
1,B(1),의견,잠시만요 한 번 확인해볼게요
1,B(1),의견,음.. 일단 제가 사진 하나 찾아서 끼워 넣느라 배치를 바꿔야 할 것 같아요
1,B(1),의견,이거 하면 추가 점수 준대요! 할까요?
1,B(1),의견,reflection table에 칸이랑 사인 채우는 거 안 끝났어요
1,B(1),의견,뭘 수정해야 하죠?
1,B(1),의견,제가 채우고 있으니
1,B(1),의견,이렇게 하면 될 것 같아용
1,B(1),의견,이렇게 하면 되네요
1,B(1),의견,turnitin에는 한 조에 1개씩만 제출하면 되나요?
1,B(1),의견,저번에 했던 표 그대로 복붙하면 되겠네요
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,구글 번역기도 ai로 간주.
1,B(1),자료,사진
1,B(1),자료,파일: Worksheet_How much do you know about your favorite bread.docx
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,개인 피피티도 하이퍼링크 없고 주제 틀리고 걍 웹사이트 긁어 오고 독스 접근 권한 막아서..
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,파일: WK 16 - Rubric and Checklist_250611_092639.pdf
1,B(1),자료,사진
1,B(1),자료,이걸 해서 사진 찍어서 붙이래요
1,B(1),자료,사진
1,B(1),자료,파일: #4_ Your favorite bread _ Capstone Project_250601_192124.pdf
1,B(1),자료,파일: WK 16 - Rubric and Checklist_250611_092639.pdf
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,그럼 제가 solution에 대한 visual prototype 비슷한 사진을 찾아서 넣을게요
1,B(1),자료,사진
1,B(1),자료,사진 끼워넣었구요 나머지는 원래 배치로 돌려놓을게요
1,B(1),자료,여기서 말하는 information은 표 내용을 말하는 거고
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,링크 예전 거 뜰어가신 듯요
1,B(1),자료,https://www.canva.com/design/DAGqxy_RzBE/DGoaYzPn1MhxGihSFKbAJg/edit
1,B(1),자료,https://docs.google.com/document/d/1vzsP0omX-VsQXfpGG48d2yxxFFhXfM1i/edit
1,B(1),자료,사진
1,B(1),자료,"파일: Good, Most Optimal Choice.pdf"
1,B(1),자료,사진
1,B(1),자료,사진
1,B(1),자료,role 표도 lxp에 내야죠
1,B(1),자료,이거 다른 조원들은 turnitin에 낼 필요 없겠죠? 내봤자 표절률 올라가니까..
1,B(1),자료,https://miro.com/app/board/uXjVIuGOnGQ=/?moveToWidget=3458764630211396138&cot=14
1,B(1),자료,월요일에 저희가 포스터를 발표하는 건가요?
1,B(1),자료,사진
1,B(1),자료,그룹 질문 다 완성되면 생명 반 단톡에 있는 링크에 복붙합시다
1,B(1),자료,Lxp랑 단톡 독스 링크에 둘 다 된 건가요?
1,B(1),자료,https://docs.google.com/document/d/1Uk58L_b33efeKeUjSH5Cu2SAm5IeXwyPP322uH4gb-0/edit?tab=t.ilu9v6xucspk
1,B(1),잡담,저희 9일까지 presentation영상 찍어서 제출해야 해요
1,B(1),잡담,그리고 1페이지 요약도 미로에 만들어야 해요
1,B(1),잡담,만약 줄여야 한다면 참고문헌은 말하지 맙시다
1,B(1),잡담,글구 미로에 출처 쓰는 거 apa 형식으로 인용하는 거 아닌가요?
1,B(1),잡담,찬반 인원 밸런스 맞춰야 합니다
1,B(1),잡담,유진씨는 반대
1,B(1),잡담,전 찬성했습니다
1,B(1),잡담,이거 채워주세요
1,B(1),잡담,저 이건 뭐하는 건가요?
1,B(1),잡담,여러분 저 stdt 조가 5시에 꼭 모여야 한다고 해서 저 좀 늦을 것 같아요. 죄송합니다ㅠㅠ
1,B(1),잡담,방금 stdt 조가 똑같이 말했어요....ㅎㅎㅠㅠ
1,B(1),잡담,아.. 어떡하죠..? stdt가 지금 빠질 수 있는 분위기가 아니라..
1,B(1),잡담,진짜 최대한 빨리 갈게요ㅠㅠ
1,B(1),잡담,법학관 앞에서 캠페인 하는 영상 찍는 거라 엄청 오래 걸릴 것 같진 않아요..
1,B(1),잡담,법도 지하요?
1,B(1),잡담,넴
1,B(1),잡담,저 stdt가 방금 끝났습니다
1,B(1),잡담,다 반대로 쓰는 건가요..?
1,B(1),잡담,감사합니당
1,B(1),잡담,일단 주말엔 힘들 것 같습니다
1,B(1),잡담,음.. 이거는 주말에 시작하는 게 나을 것 같으면 그렇게 합시다
1,B(1),잡담,아뇨ㅠㅠ
1,B(1),잡담,이거죠?
1,B(1),잡담,6시 돼요
1,B(1),잡담,"전 2시, 11시 20분 둘다 돼요"
1,B(1),잡담,아 해결됐어요
1,B(1),잡담,영상 안 올렸고
1,B(1),잡담,진짜 무슨 work를 한 건지 알 길이 없어요..
1,B(1),잡담,전 8조만 하고.. 9조를 왜 할 수 없었는지 사유를 적을 테니..
1,B(1),잡담,이거요
1,B(1),잡담,11시 아니었나요? 11시 20분이라고 상의한 적은 없었던 것 같은데
1,B(1),잡담,그런 20분에 합시다
1,B(1),잡담,저 근데 저희가 이걸 했다는 증거를 남겨야 하기 때문에
1,B(1),잡담,포스터 개인별 qna로 평가함
1,B(1),잡담,그래서 포스터 내용을 모두 알고 있어야
1,B(1),잡담,1. 권도현
1,B(1),잡담,다른 겁니다
1,B(1),잡담,단계적인 거에요
1,B(1),잡담,저희 역할을 이렇게 나눠야 하는 것 같은데요?
1,B(1),잡담,흠.. 알겠습니다
1,B(1),잡담,여기에 평가 기준 같은 거 있습니다
1,B(1),잡담,어제 저랑 유진씨가 했는데
1,B(1),잡담,유진씨 플라스미드 완성된 건가요?
1,B(1),잡담,기준 지킬 게 많더라고요 다 숙지하고 합시당
1,B(1),잡담,다른 조가 gmo 조사한 내용도 포함
1,B(1),잡담,시켜야 해요
1,B(1),잡담,어떤 조는 미리캔버스? 쓰는 것 같더라고요
1,B(1),잡담,음..problem statement에 넣는 게 가장 적합하지 않을까요
1,B(1),잡담,그럼 따로 칸을 만듭시다
1,B(1),잡담,제가 cause를 맡았는데 cause를 짧게 하기로 했으니..
1,B(1),잡담,제출했어요
1,B(1),잡담,ㅇㄴ 근데 미리캔버스는 공유 기능이 없는데
1,B(1),잡담,그럼 만나서 할 건가요?
1,B(1),잡담,전 만나는 게 더 나을 것 같긴 해요
1,B(1),잡담,Causes of Global Hunger
1,B(1),잡담,이거 조에서 1개 하는 거 맞죠?
1,B(1),잡담,다른 조는 한 사람당 한 개 하길래..
1,B(1),잡담,interactive workshop handouts에는 조별 1개라는 것 같긴 해요
1,B(1),잡담,괜찮겠죠..?
1,B(1),잡담,저희가 맞는 것 같긴 해요..
1,B(1),잡담,Reflection을 why it matters와 관련되게 쓰는 거 아니었나요?
1,B(1),잡담,이게 solution에 대한 기준이기 때문에 또 명시해야 할 것 같아요
1,B(1),잡담,이게 solution에 대한 조건이니 solution안에 적어야죠
1,B(1),잡담,분량 제한 없어요
1,B(1),잡담,저희 그림이 visual prototype or labeled concept sketch로 성립하겠...죠?
1,B(1),잡담,요거슬 해야합니데이
1,B(1),잡담,그거 외에는 포스터 딱히 고칠 것 없는 것 같아요 아마도
1,B(1),잡담,그런 것 같습니다
1,B(1),잡담,일단 이현씨 끝내면 말해주시구요
1,B(1),잡담,ㅇㅎ
1,B(1),잡담,휴
1,B(1),잡담,포스터에는 여기 나온 것처럼 이름과 역할 정도로 쓰는 거에요
1,B(1),잡담,저희 출처가 총 7개인데요?
1,B(1),잡담,출처 7개인데 괜찮겠죠..?
1,B(1),잡담,없어용
1,B(1),잡담,전 괜찮을 것 같은데 유진 씨가 걱정되면 물어보죠
1,B(1),잡담,누가 무슨 인용을 했다를 증명해야 하니까 여기에 간단히 씁시다
1,B(1),잡담,causes도 다시 쓸까요?ㅠㅠㅠㅠ
1,B(1),잡담,그래서 저도 지금 최대한 유치하게 바꾸고 있어요
1,B(1),잡담,causes 고쳤어요
1,B(1),잡담,와... 내가 얼마나 문장 퀄을 떨어뜨렸는데ㅠㅠ
1,B(1),잡담,다른 계정 파서 또 제출한다는 사람을 본 적 있어요
1,B(1),잡담,원래 다양한 사이트 별로 천차만별로 떠요
1,B(1),잡담,그럼 미리 turnitin에 넣진 맙시다
1,B(1),잡담,근데 여기서 causes 원래 버전 넣으신 것 같은데요?
1,B(1),잡담,여기에 각자 뭘 인용한 건지 간단하게 씁시다
1,B(1),잡담,한 사람 당 한 개 이상 인용한 거 알 수 있게
1,B(1),잡담,전 다했어요
1,B(1),잡담,전 사인 넣었습니다
1,B(1),잡담,acdt처럼 각자 본인 사인 넣는 거 같은데요?
1,B(1),잡담,정 걱정되면 걍 다 넣을까요?
1,B(1),잡담,저도요
1,B(1),잡담,여기 보시면 저희 올린 거 있어요
1,B(1),잡담,헐.. 제가 해볼게요
1,B(1),잡담,ㅠㅠㅠㅠㅠㅠ
1,B(1),잡담,일단 지금 집에 가고 있는 것 같은데..
1,B(1),잡담,음.. 일단 유진 씨 사인 다 넣어주세용
1,B(1),잡담,여러분 이거 해주실 수 있나요? 가산점 준대요
1,B(1),잡담,흠... 처음에 포함시켰던 다른 조 꺼 참고하기 아닐까요?
1,B(1),잡담,저도 더 찾아볼게요
1,B(1),잡담,다른 조 거 구하는 중이에요
1,B(1),잡담,다른 분들도 구할 수 있으면 구해 봐요ㅠㅠ
1,B(1),잡담,걍 톡으로 서로 알려준 담에 저희 거랑 연관시킬 만한 거에 ~조를 참고했다/영감을 얻었다/피드백을 받았다
1,B(1),잡담,포스터에 쓰라는 것 같아요
1,B(1),잡담,다른 조 거 받았어요
1,B(1),잡담,이걸 저희 무료 급식이랑 연관지으면 좋을 것 같아요
1,B(1),잡담,이건 뭔가요?
1,B(1),잡담,오 제 아이디어보다 좋은 것 가타요
1,B(1),잡담,퍼센트가 내려간다면야.. 넘 좋죠
1,B(1),잡담,제 꺼에는 제출됐다고 안 떠서
1,B(1),잡담,와!!!! 대박
1,B(1),잡담,수고하셨습니다
1,B(1),잡담,아님 모든 학생들이 돌아다니면서 포스터 구경하고 qna만 하는 건가요?
1,B(1),잡담,감사합니다
1,B(1),잡담,넴
1,B(1),잡담,유진씨
1,B(1),잡담,eggplant그룹에 쓰신 질문에 대한 답이
1,B(1),잡담,이미 포스터에 보면 있더라구요
1,B(1),잡담,여러분 개인 질문 만들기 과제 삭제됐대요
1,B(1),잡담,다른 반 학생이 질문했는데
1,B(1),잡담,교수님이 그 과제 없앴대요
1,B(1),잡담,여러분 저희도 생명 반 단톡에 있는 거 합시당
1,B(1),잡담,저도 다 했어요
1,B(1),잡담,이게 저희 생명 반 조별 전체 질문 모은 겁니다
1,B(1),잡담,오메
1,B(1),잡담,수고하셨습니다
1,B(1),잡담,"In the poster, you said that the Bacillus thuringiensis gene is dangerous to rats. But how can we know about human-effects? And what about other GMO foods that don’t have it ?"
1,B(1),잡담,라는 질문이 있는데
1,B(1),잡담,이거 다른 조랑 혼동한 질문인 것 같아요
1,B(1),잡담,우리 조에 들어올 질문입니다
1,B(1),잡담,Ai 안 걸리려고 그런 거 아닐까요?
1,C(1),대답,전 됩니다
1,C(1),대답,넵
1,C(1),대답,네
1,C(1),대답,네
1,C(1),대답,네
1,C(1),대답,넵
1,C(1),대답,넵
1,C(1),대답,아 허들을 슬랙이라고 잘못 말했네요.
1,C(1),대답,넵
1,C(1),대답,네 그래야 하는 것 같아요
1,C(1),대답,gmo안되는 이유 따로 써도 된다고 하시네요
1,C(1),대답,네
1,C(1),대답,넵
1,C(1),대답,이거 항목도 그대로 인걸 보니까 맞는 것 같네요
1,C(1),대답,그거 붙여 넣었늕데 한번 다시 제출할게요
1,C(1),의견 및 일정 조율,일요일 저녁쯤에 가능하신 분 있으신가요?
1,C(1),의견 및 일정 조율,내일도 안되나요?
1,C(1),의견 및 일정 조율,일요일 오후 8시 정도에 괜찮으신가요?
1,C(1),의견 및 일정 조율,이건 월요일 수업 전까지에요
1,C(1),의견 및 일정 조율,근데 다른 조 프레젠테이션을 어디서 보는지를 모르겠어서 우선 슬랙에 질문을 올려놨어요
1,C(1),의견 및 일정 조율,내일 8시쯤에 하는건가요?
1,C(1),의견 및 일정 조율,내일 한 오후 2시쯤에 가능한가요?
1,C(1),의견 및 일정 조율,오늘 한 11시 쯤에 줌으로 허들로 만날까요?
1,C(1),의견 및 일정 조율,다들 슬랙 허들로 들어와주세요
1,C(1),의견 및 일정 조율,오늘 몇시에 모이는게 좋을까요?
1,C(1),의견 및 일정 조율,오늘 이거 수업 끝나자마자 바로 슬랙으로 포스터 만들건가요?
1,C(1),의견 및 일정 조율,법학관 몇층에서 만날까요?
1,C(1),의견 및 일정 조율,우선 슬랙에 1시 혹은 2시까지 포스터를 가져오라는 말을 보니 월요일 까지가 맞는 것 같아요
1,C(1),의견 및 일정 조율,저희 Group and Self Evaluation 이거 일요일 까지 해야되요
1,C(1),의견 및 일정 조율,일요일에 허들로 할 건가요?
1,C(1),의견 및 일정 조율,"내일 돌아다니면서 물어보고, 그 질문에 대한 답변들 을 슬랙에 올려야 하는 것 같은데 저희 오늘 쓴 문서에서 자신이 쓴 question을 질문하는 게 어때요? 서로 질문한 게 겹치면 좀 곤란해질 것 같아서요"
1,C(1),의견,그러면 일요일 쯤에 가능할까요? 제가 토요일에 다른 조별과제가 있어서...
1,C(1),의견,한 사람당 한 슬라이드라고 하는데 제목 제외하면 아직 슬라이드 4개여서요
1,C(1),의견,수요일 까지 포스터 만들어야 하는데 언제 토의할까요?
1,C(1),의견,그리고 how much do you know about your favorite bread 이거 채우려면 각자 몇조꺼 볼지 정한 후 다른 조원이 자신이 본 것에대해 궁금해 하는 것을 적어야 해서 이것도 언제 짧게라도 줌으로 만나야 항 것 같아요
1,C(1),의견,how much이거 채우는 건 월요일 까지인데 이것도 힘든가요?
1,C(1),의견,how much~ 이 워크시트 내일 채우는게 좋을 것 같은데 혹시 내일 되는 시간이 언제이신가요?
1,C(1),의견,네 오늘 잠시 만나서 서로 질문/답 하면서 워크시트 채우는 게 좋을 것 같아요
1,C(1),의견,한번 확인 한 다음 괜찮은 것 같으면 제출해도 될 것 같아요
1,C(1),의견,밑의 링크에 가서 why this matter 여기만 채우면 되뇨
1,C(1),의견,음... 정 불안하면 해결책에 제시된 것 중 하나의 그림을 찾아서 포스터 안에 넣어도 되기는 해요
1,C(1),의견,지금 제가 지하철 안이라서 혹시 제 역할을 'visualization finder'이런 식으로 바꿔 주실 수 있나요? citation이 1 사람 당 1 개 라고 하는데 gmo critic 이렇게 쓰면 gmo 이부분에 인용이 2개라서 좀 불안해서요.
1,C(1),의견,저희 제출할까요?
1,C(1),의견,"솔루션에 대한 피드백하라는 것 같은데 ,다른 조랑 하면 보너스 점수 주고, 그거 못하면 같은 조라도 하라는 것 같네요"
1,C(1),의견,솔루션에 추가했습니다.
1,C(1),의견,근데 제가 추가한것도 포함되어 있나요?
1,C(1),의견,지금 추가로 고칠 부분이 있나요?
1,C(1),의견,음... 이거 꽤나 걸릴 것 같아서 가능하면 토요일에 하는 게 좋을 것 같아요
1,C(1),의견,"아 다른 부분 보니까 교대하면서 포스터 앞에서 qna를 하고, 다른 사람은 돌아다니면서 다른 그룹 포스터에 질문하는 것 같네요"
1,C(1),자료,사진
1,C(1),자료,사진
1,C(1),자료,https://docs.google.com/presentation/d/1mq-lvb6C_Y3wOVQWOOGm1H7fKDh9_XUK0BcDdtjDVMQ/edit?slide=id.g35e59793626_0_5#slide=id.g35e59793626_0_5
1,C(1),자료,https://us04web.zoom.us/j/2483882569?pwd=3sIFlnapjSlnbnXkUa4N92mCVfgLso.1
1,C(1),자료,파일: 1-page summary.docx
1,C(1),자료,사진
1,C(1),자료,https://miro.com/app/board/uXjVIuGOnGQ=/?moveToWidget=3458764630211396138&cot=14
1,C(1),자료,https://us04web.zoom.us/j/2483882569?pwd=3sIFlnapjSlnbnXkUa4N92mCVfgLso.1
1,C(1),자료,파일: #4_ Your favorite bread _ Capstone Project.pdf
1,C(1),자료,https://docs.google.com/presentation/d/1yuveTADLB00GugvTGqjLMHnvDu9sxFAX/edit?slide=id.p1#slide=id.p1
1,C(1),자료,사진
1,C(1),자료,사진
1,C(1),자료,사진
1,C(1),자료,https://www.google.com/url?sa=i&url=https%3A%2F%2Ffoodaidfoundation.org%2Fworld-hunger-statistics-2020%2F&psig=AOvVaw1pwa7eFfjoPrCf71zV3jBK&ust=1750322567830000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPCY_unJ-o0DFQAAAAAdAAAAABAE
1,C(1),자료,https://www.canva.com/design/DAGqsJq9wJA/r9AvuWPfAETkWlRL9iuiYw/edit?utm_content=DAGqsJq9wJA&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton
1,C(1),자료,https://foodaidfoundation.org/world-hunger-statistics-2020/
1,C(1),자료,https://www.canva.com/design/DAGqsMFc754/5U6v-lCH3JrUm_MLaTnBdA/edit?utm_content=DAGqsMFc754&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton
1,C(1),자료,근데 reflection box에서는 2~3 문장으로 짧게 써야 해서 힘들 것 같고 다른 부분에서 다른 조 발표내용을 넣어야 할 것 같아요
1,C(1),자료,사진
1,C(1),자료,사진
1,C(1),자료,사진
1,C(1),자료,사진
1,C(1),자료,사진
1,C(1),자료,https://vespertool.com/knowledge-hub/seeds/types-of-data/price-comparisons/
1,C(1),자료,사진
